Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales,Other_Sales
266,Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,1.46,0,0.83,4.23,1.93
267,Daxter,PSP,2006,Platform,Sony Computer Entertainment,2.45,1.02,0,4.22,0.75
268,Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,1.7,2.27,0,4.21,0.23
269,The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo,2.03,1.27,0.62,4.21,0.3
270,FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,0.78,2.55,0.04,4.21,0.84
271,EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,0.88,2.3,0.2,4.2,0.83
272,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.3,2.07,0.18,4.2,0.65
273,Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,1.28,1.83,0.57,4.2,0.53
274,Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,2.25,1.47,0.04,4.19,0.43
275,Street Fighter IV,PS3,2009,Fighting,Capcom,2.02,1.06,0.58,4.19,0.53
276,FIFA 12,X360,2011,Sports,Electronic Arts,0.84,2.79,0.02,4.19,0.53
277,Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom,3.38,0.44,0.31,4.17,0.04
278,Excitebike,NES,1984,Racing,Nintendo,2.04,0.48,1.57,4.16,0.07
279,Frogger,PS,1997,Action,Hasbro Interactive,3.79,0.27,0,4.16,0.11
280,Madden NFL 2003,PS2,2002,Sports,Electronic Arts,3.36,0.21,0.01,4.14,0.56
281,Watch Dogs,PS4,2014,Action,Ubisoft,1.4,1.86,0.11,4.14,0.77
282,Half-Life,PC,1997,Shooter,Vivendi Games,4.03,0,0.09,4.12,0
283,Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo,1.65,0.61,1.76,4.12,0.09
284,FIFA Soccer 07,PS2,2006,Sports,Electronic Arts,0.71,2.48,0.03,4.11,0.89
285,The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,2.14,1.2,0.37,4.1,0.4
286,Street Fighter II Turbo,SNES,1992,Fighting,Capcom,1.42,0.51,2.1,4.1,0.07
287,Carnival Games,Wii,2007,Misc,Take-Two Interactive,2.13,1.5,0.05,4.1,0.42
288,Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,2.45,1.26,0.01,4.09,0.37
289,World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,2.57,1.52,0,4.09,0
290,Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks,2.65,1.06,0.04,4.08,0.33
291,God of War II,PS2,2007,Action,Sony Computer Entertainment,2.32,0.04,0.04,4.07,1.67
292,Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,2.35,1.28,0.03,4.06,0.41
293,World Soccer Winning Eleven 9,PS2,2005,Sports,Konami Digital Entertainment,0.12,2.26,0.9,4.06,0.77
294,Namco Museum Vol.3,PS,1996,Misc,Sony Computer Entertainment,2.28,1.55,0.16,4.05,0.06
295,Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games,1.68,1.51,0.51,4.05,0.35
296,Far Cry 4,PS4,2014,Shooter,Ubisoft,1.12,2.12,0.1,4.03,0.69
297,Star Fox 64,N64,1997,Shooter,Nintendo,2.78,0.58,0.64,4.03,0.04
298,Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,1.38,1.87,0.12,4.02,0.65
299,Golf,NES,1984,Sports,Nintendo,1.22,0.28,2.46,4.01,0.04
300,Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks,2.15,1.2,0.07,4.01,0.59
301,Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo,0.92,1.78,0.92,4,0.37
302,Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,2.67,0.89,0.05,3.99,0.37
303,Namco Museum: 50th Anniversary,PS2,2005,Misc,Namco Bandai Games,2.08,1.35,0,3.98,0.54
304,EA Sports Active,Wii,2009,Sports,Electronic Arts,2.1,1.36,0.06,3.92,0.4
305,Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,1.18,1.96,0.08,3.92,0.7
306,Donkey Kong Land,GB,1994,Platform,Nintendo,1.97,0.76,1.07,3.91,0.11
307,Tony Hawk's Underground,PS2,2003,Sports,Activision,2.29,1.17,0.01,3.9,0.42
308,Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,1.33,1.71,0.13,3.89,0.73
309,Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,0.67,0.49,2.62,3.89,0.11
310,MotorStorm,PS3,2006,Racing,Sony Computer Entertainment,1.53,1.61,0.06,3.88,0.67
311,The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,1.15,2.09,0,3.88,0.64
312,Tekken 5,PS2,2005,Fighting,Namco Bandai Games,0.93,1.94,0.31,3.87,0.7
313,Dragon Warrior III,NES,1988,Role-Playing,Enix Corporation,0.1,0,3.77,3.87,0
314,Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,2.12,1.14,0.1,3.87,0.51
315,NBA 2K16,PS4,2015,Sports,Take-Two Interactive,2.48,0.65,0.03,3.85,0.69
316,World Soccer Winning Eleven 8 International,PS2,2004,Sports,Konami Digital Entertainment,0.16,1.89,1.12,3.85,0.68
317,Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,0.87,1.57,1.05,3.84,0.35
318,Namco Museum Vol.1,PS,1995,Misc,Sony Computer Entertainment,2.12,1.44,0.22,3.84,0.06
319,The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo,2.21,0.96,0.54,3.83,0.13
320,Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,Nintendo,2.26,0.48,0.81,3.83,0.27
321,Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,1.06,1.93,0.41,3.82,0.43
322,Nintendogs + cats,3DS,2011,Simulation,Nintendo,1.44,1.37,0.73,3.81,0.27
323,Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,1.49,1.58,0.1,3.79,0.61
324,Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega,1.14,1.91,0.27,3.78,0.46
325,LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision,2.4,1.03,0,3.78,0.36
326,Resident Evil Director's Cut,PS,1996,Action,Virgin Interactive,1.82,1.24,0.47,3.77,0.25
327,Ratchet & Clank: Size Matters,PSP,2007,Platform,Sony Computer Entertainment,1.4,1.4,0.1,3.77,0.87
328,Just Dance 2014,Wii,2013,Misc,Ubisoft,1.98,1.47,0,3.76,0.32
329,The Sims: Unleashed,PC,2002,Simulation,Electronic Arts,2.03,1.56,0,3.76,0.17
330,Super Paper Mario,Wii,2007,Platform,Nintendo,1.98,0.88,0.59,3.76,0.32
331,Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts,1.37,2,0.14,3.73,0.22
332,The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,0.96,2,0.21,3.73,0.56
333,Resident Evil 3: Nemesis,PS,1999,Action,Eidos Interactive,1.3,0.77,1.54,3.72,0.11
334,Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment,1.93,1.58,0,3.71,0.19
335,FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts,0.58,2.48,0.04,3.7,0.59
336,Pok̩mon Trading Card Game,GB,1998,Strategy,Nintendo,1.49,0.73,1.38,3.7,0.1
337,Battlefield 4,PS3,2013,Shooter,Electronic Arts,1.3,1.51,0.27,3.69,0.61
338,MySims,DS,2007,Simulation,Electronic Arts,1.59,1.61,0.08,3.69,0.41
339,Friend Collection,DS,2009,Misc,Nintendo,0,0,3.67,3.67,0
340,Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision,2.13,1.18,0.01,3.67,0.35
341,Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive,1.65,1.22,0,3.66,0.79
342,Banjo-Kazooie,N64,1998,Platform,Nintendo,1.87,1.13,0.55,3.65,0.1
343,SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment,2.53,0.81,0.06,3.65,0.24
344,Guitar Hero: World Tour,Wii,2008,Misc,Activision,2.33,0.97,0,3.65,0.35
345,Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment,0.71,1.8,0.4,3.64,0.74
346,Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment,2.08,1.09,0.15,3.64,0.33
347,Pokemon Snap,N64,1999,Simulation,Nintendo,2.23,0.68,0.66,3.63,0.06
348,FIFA Soccer 10,PS3,2009,Sports,Electronic Arts,0.6,2.46,0.05,3.63,0.52
349,Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment,0.05,0,0.64,3.63,2.93
350,Call of Duty: Ghosts,PS4,2013,Shooter,Activision,1.78,1.42,0.05,3.63,0.38
351,Resident Evil 4,PS2,2005,Action,Capcom,2.08,0.83,0.46,3.62,0.25
352,Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,1.28,1.61,0.15,3.61,0.57
353,Star Wars: Battlefront,PS2,2004,Shooter,LucasArts,1.93,1.22,0.03,3.61,0.44
354,Doom II: Hell on Earth,PC,1994,Shooter,Virgin Interactive,2.05,1.4,0,3.61,0.16
355,The Simpsons: Road Rage,PS2,2001,Racing,Electronic Arts,2.02,1.17,0,3.61,0.42
356,Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games,1.61,1.5,0.1,3.61,0.39
357,Luigi's Mansion,GC,2001,Action,Nintendo,2.38,0.67,0.46,3.6,0.1
358,Star Wars: Battlefront II,PS2,2005,Shooter,LucasArts,2.18,1.02,0.03,3.59,0.37
359,WWF SmackDown!,PS,2000,Fighting,THQ,2.01,1.35,0.06,3.58,0.16
360,Croc: Legend of the Gobbos,PS,1997,Platform,Fox Interactive,1.57,1.79,0,3.56,0.2
361,Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,1.56,1.4,0.07,3.54,0.5
362,The Getaway,PS2,2002,Action,Sony Computer Entertainment,1.23,1.77,0.05,3.54,0.49
363,Tomb Raider III: Adventures of Lara Croft,PS,1997,Action,Eidos Interactive,1.66,1.58,0.12,3.54,0.18
364,James Bond 007: Agent Under Fire,PS2,2001,Shooter,Electronic Arts,1.9,1.13,0.1,3.53,0.41
365,LEGO Star Wars: The Video Game,PS2,2005,Action,Eidos Interactive,1.98,1.14,0.01,3.53,0.41
366,Battlefield 4,X360,2013,Shooter,Electronic Arts,2.14,1.08,0.02,3.53,0.29
367,FIFA Soccer 11,X360,2010,Sports,Electronic Arts,0.71,2.4,0.02,3.53,0.4
368,Rugrats in Paris: The Movie,PS,2000,Action,THQ,1.96,1.33,0,3.52,0.23
369,Spyro 2: Ripto's Rage!,PS,1999,Platform,Sony Computer Entertainment,2.14,1.21,0.01,3.52,0.17
370,Left 4 Dead,X360,2008,Shooter,Electronic Arts,2.66,0.5,0.05,3.52,0.3
371,Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,Sega,1.22,1.66,0.27,3.52,0.38
372,Resident Evil 5,X360,2009,Action,Capcom,2.11,0.94,0.12,3.51,0.34
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform,Nintendo,1.17,0.5,1.75,3.51,0.08
374,Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft,2.84,0.39,0.03,3.5,0.24
375,Kung Fu,NES,1985,Action,Nintendo,1.64,0.38,1.42,3.5,0.06
376,Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive,2.2,0.97,0.02,3.5,0.31
377,Clubhouse Games,DS,2006,Misc,Nintendo,0.59,1.83,0.73,3.5,0.35
378,FIFA Soccer 2004,PS2,2003,Sports,Electronic Arts,0.59,2.36,0.04,3.49,0.51
379,Star Wars Battlefront (2015),XOne,2015,Shooter,Electronic Arts,1.94,1.22,0.02,3.49,0.31
380,Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts,2.09,1.02,0.04,3.48,0.32
381,Guitar Hero: On Tour,DS,2008,Misc,Activision,2.11,1.01,0.01,3.48,0.35
382,Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,2.26,0.89,0,3.46,0.3
383,Far Cry 3,PS3,2012,Shooter,Ubisoft,0.88,1.75,0.1,3.45,0.72
384,Monster Hunter 4,3DS,2013,Role-Playing,Capcom,0,0,3.44,3.44,0
385,Borderlands,X360,2009,Shooter,Take-Two Interactive,2.39,0.73,0.03,3.44,0.29
386,Tekken 4,PS2,2002,Fighting,Namco Bandai Games,1.55,1.27,0.33,3.44,0.29
387,Battlefield 4,PS4,2013,Shooter,Electronic Arts,1.34,1.54,0.17,3.43,0.38
388,LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment,1.82,1.07,0.06,3.42,0.47
389,Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive,1.13,2.07,0,3.42,0.22
390,Final Fantasy III,SNES,1994,Role-Playing,SquareSoft,0.86,0,2.55,3.42,0.02
391,Spider-Man 2,PS2,2004,Action,Activision,1.75,1.2,0.02,3.41,0.43
392,F-1 Race,GB,1990,Racing,Nintendo,1.73,0.69,0.59,3.41,0.4
393,FIFA Soccer 2003,PS2,2002,Sports,Electronic Arts,0.46,2.28,0.05,3.4,0.61
394,Crash Bash,PS,2000,Misc,Sony Computer Entertainment,1.56,1.47,0.19,3.39,0.17
395,LEGO Batman: The Videogame,X360,2008,Action,Warner Bros. Interactive Entertainment,2.03,1.03,0,3.38,0.32
396,Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,1.08,1.35,0.48,3.38,0.47
397,The Legend of Zelda: Spirit Tracks,DS,2009,Action,Nintendo,1.43,0.94,0.74,3.38,0.27
398,WWF War Zone,PS,1998,Fighting,Acclaim Entertainment,2.47,0.76,0,3.36,0.13
399,The Legend of Zelda: Majora's Mask,N64,2000,Action,Nintendo,1.9,0.67,0.73,3.36,0.06
400,Professor Layton and the Unwound Future,DS,2008,Puzzle,Nintendo,0.65,1.61,0.82,3.36,0.28
401,Rugrats: Search For Reptar,PS,1998,Adventure,THQ,1.63,1.53,0,3.34,0.18
402,Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft,1.9,1.14,0.01,3.34,0.29
403,English Training: Have Fun Improving Your Skills!,DS,2006,Misc,Nintendo,0,0.99,2.32,3.33,0.02
404,James Bond 007: Nightfire,PS2,2002,Shooter,Electronic Arts,1.45,1.29,0.12,3.33,0.46
405,Ratchet & Clank,PS2,2002,Platform,Sony Computer Entertainment,1.44,1.01,0.57,3.33,0.3
406,Mario Party 9,Wii,2012,Misc,Nintendo,1.15,1.17,0.76,3.32,0.24
407,Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts,1.47,1.39,0.03,3.32,0.43
408,Max Payne,PS2,2001,Shooter,Take-Two Interactive,1.99,1.05,0.05,3.31,0.22
409,The Lord of the Rings: The Return of the King,PS2,2003,Action,Electronic Arts,1.5,1.28,0.05,3.28,0.46
410,Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,0.8,1.92,0.06,3.28,0.5
411,Destiny,XOne,2014,Shooter,Activision,2.13,0.92,0,3.28,0.23
412,True Crime: Streets of LA,PS2,2003,Action,Activision,1.89,1.05,0.02,3.27,0.31
413,Wii Music,Wii,2008,Misc,Nintendo,1.36,1.13,0.46,3.27,0.32
414,Gran Turismo (PSP),PSP,2009,Racing,Sony Computer Entertainment,0.5,1.59,0.31,3.27,0.87
415,Monster Hunter X,3DS,2015,Action,Capcom,0.25,0.19,2.78,3.26,0.04
416,Tekken,PS,1995,Fighting,Sony Computer Entertainment,0.95,1.3,0.77,3.24,0.22
417,FIFA 16,XOne,2015,Sports,Electronic Arts,0.88,2.11,0,3.23,0.23
418,L.A. Noire,PS3,2011,Adventure,Take-Two Interactive,1.27,1.33,0.12,3.23,0.51
419,Madden NFL 16,PS4,2015,Sports,Electronic Arts,2.33,0.3,0,3.22,0.59
420,Yokai Watch 2 Ganso/Honke,3DS,2014,Role-Playing,Nintendo,0.03,0,3.18,3.22,0
421,007: Tomorrow Never Dies,PS,1999,Shooter,Electronic Arts,1.72,1.33,0,3.21,0.16
422,Baseball,NES,1983,Sports,Nintendo,0.73,0.1,2.35,3.2,0.02
423,Killer Instinct,SNES,1995,Fighting,Nintendo,2.26,0.72,0.12,3.2,0.1
424,WWF SmackDown! 2: Know Your Role,PS,2000,Fighting,THQ,1.76,1.21,0.07,3.2,0.16
425,Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,Square Enix,1.35,0.6,0.8,3.19,0.44
426,God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment,1.48,1.01,0.04,3.19,0.66
427,Dragon Quest VI: Maboroshi no Daichi,SNES,1995,Role-Playing,Enix Corporation,0,0,3.19,3.19,0
428,Dance Central,X360,2010,Misc,MTV Games,2.15,0.77,0.01,3.19,0.26
429,Enter the Matrix,PS2,2003,Action,Atari,1.78,1.12,0.09,3.18,0.19
430,Super Mario Maker,WiiU,2015,Platform,Nintendo,1.18,0.87,0.93,3.18,0.2
431,Fallout: New Vegas,PS3,2010,Role-Playing,Bethesda Softworks,1.52,1.08,0.1,3.17,0.47
432,LEGO Batman: The Videogame,Wii,2008,Action,Warner Bros. Interactive Entertainment,1.86,1.02,0,3.17,0.29
433,Rhythm Heaven,DS,2008,Misc,Nintendo,0.58,0.51,1.93,3.17,0.14
434,Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,3.17,0.17
435,Club Penguin: Elite Penguin Force,DS,2008,Adventure,Disney Interactive Studios,1.88,0.98,0,3.16,0.3
436,Animal Crossing,GC,2001,Simulation,Nintendo,1.92,0.16,0.99,3.15,0.09
437,LEGO Batman: The Videogame,DS,2008,Action,Warner Bros. Interactive Entertainment,1.79,1.06,0,3.15,0.29
438,Sonic Rush,DS,2005,Platform,Sega,1.22,1.57,0.06,3.15,0.29
439,Resident Evil 6,PS3,2012,Shooter,Capcom,0.88,0.97,0.88,3.15,0.42
440,Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios,1.89,0.99,0.03,3.15,0.24
441,FIFA Soccer 08,PS2,2007,Sports,Electronic Arts,0.68,0,0,3.14,2.46
442,Spider-Man,PS,2000,Action,Activision,1.7,1.25,0.02,3.13,0.16
443,Need for Speed III: Hot Pursuit,PS,1998,Racing,Electronic Arts,2.14,0.86,0,3.12,0.13
444,Star Wars Episode I Racer,N64,1999,Racing,Nintendo,2.31,0.62,0.14,3.12,0.04
445,Personal Trainer: Cooking,DS,2006,Misc,Nintendo,0.91,1,1.03,3.12,0.17
446,The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft,1.69,0.87,0.14,3.12,0.42
447,Dragon Warrior IV,NES,1990,Role-Playing,Enix Corporation,0.08,0,3.03,3.12,0.01
448,Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment,1.29,1.27,0.06,3.12,0.5
449,Mass Effect 2,X360,2010,Role-Playing,Electronic Arts,1.99,0.82,0.03,3.11,0.27
450,FIFA 15,X360,2014,Sports,Electronic Arts,0.78,2.02,0,3.11,0.3
451,Dragon Ball Z: Budokai,PS2,2002,Fighting,Atari,2.17,0.28,0.55,3.09,0.08
452,Madden NFL 2002,PS2,2001,Sports,Electronic Arts,2.5,0.16,0.01,3.08,0.42
453,World Class Track Meet,NES,1986,Sports,Namco Bandai Games,1.92,0.45,0.64,3.08,0.07
454,Borderlands 2,X360,2012,Shooter,Take-Two Interactive,1.89,0.91,0.04,3.07,0.24
455,The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,1.4,0.99,0.46,3.07,0.22
456,Donkey Kong,GB,1994,Platform,Nintendo,1.57,0.62,0.55,3.07,0.34
457,The Sims: Vacation,PC,2002,Simulation,Electronic Arts,1.72,1.21,0,3.07,0.14
458,Mass Effect 3,X360,2012,Role-Playing,Electronic Arts,1.94,0.86,0.03,3.07,0.24
459,Kung Fu Panda,X360,2008,Action,Activision,1.91,0.84,0,3.05,0.29
460,Far Cry 3,X360,2012,Shooter,Ubisoft,1.38,1.35,0.02,3.04,0.28
461,Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,2.06,0.64,0.12,3.04,0.22
462,Saints Row 2,X360,2008,Action,THQ,1.94,0.8,0.02,3.03,0.27
463,Rayman,PS,1995,Platform,Ubisoft,1.54,1.33,0,3.03,0.16
464,Killzone 2,PS3,2009,Shooter,Sony Computer Entertainment,1.4,1.07,0.08,3.02,0.47
465,Tom Clancy's Splinter Cell,XB,2002,Action,Ubisoft,1.85,1.04,0,3.02,0.13
466,Mike Tyson's Punch-Out!!,NES,1987,Fighting,Nintendo,2.03,0.47,0.45,3.02,0.07
467,WWE SmackDown! Shut Your Mouth,PS2,2002,Sports,THQ,1.45,1.13,0.07,3.02,0.38
468,Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,2.38,0.32,0,3,0.31
469,NBA 2K13,X360,2012,Sports,Take-Two Interactive,2.6,0.21,0.01,3,0.19
470,Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,Atari,1.15,0,0.76,3,1.09
471,wwe Smackdown vs. Raw 2006,PS2,2005,Fighting,THQ,1.57,1.02,0,3,0.41
472,Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,1.01,1.41,0.05,2.99,0.53
473,Star Fox,SNES,1993,Shooter,Nintendo,1.61,0.51,0.8,2.99,0.07
474,The Sims: Livin Large,PC,2000,Misc,Electronic Arts,1.67,1.18,0,2.99,0.13
475,World Soccer Winning Eleven 6 International,PS2,2002,Sports,Konami Digital Entertainment,0.12,1.26,1.16,2.99,0.45
476,Devil May Cry,PS2,2001,Action,Capcom,1.36,0.86,0.64,2.99,0.13
477,Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,0.47,1,1.39,2.98,0.12
478,Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts,1.33,1.12,0.08,2.97,0.45
479,The Sims 4,PC,2014,Simulation,Electronic Arts,0.96,1.72,0,2.97,0.29
480,Star Wars: The Old Republic,PC,2011,Role-Playing,Electronic Arts,1.58,1.01,0,2.97,0.38
481,Sonic Heroes,PS2,2003,Platform,Sega,1.04,1.37,0.06,2.96,0.49
482,Kirby Super Star Ultra,DS,2008,Platform,Nintendo,1.57,0.04,1.19,2.96,0.15
483,Hitman 2: Silent Assassin,PS2,2002,Action,Eidos Interactive,1.36,1.15,0.04,2.96,0.41
484,Street Fighter IV,X360,2009,Fighting,Capcom,1.82,0.71,0.15,2.95,0.26
485,Wave Race 64,N64,1996,Racing,Nintendo,1.98,0.58,0.34,2.94,0.04
486,SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter,Sony Computer Entertainment,2.22,0.51,0.06,2.94,0.15
487,WWE SmackDown! vs. RAW 2006,PS2,2005,Fighting,THQ,1.45,1.11,0.04,2.94,0.33
488,inFAMOUS,PS3,2009,Action,Sony Computer Entertainment,1.76,0.69,0.12,2.94,0.37
489,Pac-Man Collection,GBA,2001,Puzzle,Atari,2.07,0.77,0.05,2.94,0.05
490,Mass Effect,X360,2007,Role-Playing,Microsoft Game Studios,1.83,0.8,0.03,2.93,0.27
491,WarioWare: Smooth Moves,Wii,2006,Puzzle,Nintendo,0.87,1.06,0.73,2.92,0.26
492,Cooking Mama: Cook Off,Wii,2007,Simulation,505 Games,1.43,1.13,0.05,2.91,0.3
493,Super Mario World 2: Yoshi's Island,GBA,2002,Platform,Nintendo,1.75,0.45,0.62,2.91,0.09
494,FIFA 14,PS4,2013,Sports,Electronic Arts,0.61,1.85,0.11,2.9,0.33
495,Titanfall,XOne,2014,Shooter,Electronic Arts,1.84,0.8,0.04,2.9,0.22
496,Sonic Mega Collection Plus,PS2,2004,Misc,Sega,1.54,1.14,0,2.9,0.22
497,Sega Superstars Tennis,X360,2008,Sports,Sega,1.75,0.86,0,2.9,0.28
498,World Soccer Winning Eleven 7 International,PS2,2003,Sports,Konami Digital Entertainment,0.08,1.24,1.13,2.9,0.45
499,Need for Speed: Most Wanted,PS3,2012,Racing,Electronic Arts,0.71,1.51,0.06,2.89,0.61
500,Hot Shots Golf 3,PS2,2001,Sports,Sony Computer Entertainment,0.99,0.32,1.38,2.89,0.2
